Epoch [153/250], Average Loss: 32.7128
Epoch [154/250], Average Loss: 34.3756
Epoch [155/250], Average Loss: 33.0148
Epoch [156/250], Average Loss: 30.7820
Epoch [157/250], Average Loss: 35.9921
Epoch [158/250], Average Loss: 38.3275
Epoch [159/250], Average Loss: 32.4916
Epoch [160/250], Average Loss: 27.5228
Epoch [161/250], Average Loss: 35.7994
Epoch [162/250], Average Loss: 28.4850
Epoch [163/250], Average Loss: 34.1556
Epoch [164/250], Average Loss: 28.5744
Epoch [165/250], Average Loss: 28.5778
Epoch [166/250], Average Loss: 27.8330
Epoch [167/250], Average Loss: 32.3521
Epoch [168/250], Average Loss: 31.1709
Epoch [169/250], Average Loss: 37.8752
Epoch [170/250], Average Loss: 30.1568
Epoch [171/250], Average Loss: 27.4322
Epoch [172/250], Average Loss: 25.7442
Epoch [173/250], Average Loss: 29.5041
Epoch [174/250], Average Loss: 28.6699
Epoch [175/250], Average Loss: 33.2929
Epoch [176/250], Average Loss: 28.4274
Epoch [177/250], Average Loss: 28.2962
Epoch [178/250], Average Loss: 31.2683
Epoch [179/250], Average Loss: 25.0811
Epoch [180/250], Average Loss: 25.9443
Epoch [181/250], Average Loss: 31.5295
Epoch [182/250], Average Loss: 27.2210
Epoch [183/250], Average Loss: 30.2660
Epoch [184/250], Average Loss: 25.3748
Epoch [185/250], Average Loss: 31.3434
Epoch [186/250], Average Loss: 25.0967
Epoch [187/250], Average Loss: 28.0554
Epoch [188/250], Average Loss: 24.7565
Epoch [189/250], Average Loss: 26.9718
Epoch [190/250], Average Loss: 27.1534
Epoch [191/250], Average Loss: 24.7108
Epoch [192/250], Average Loss: 27.7112
Epoch [193/250], Average Loss: 24.5293
Epoch [194/250], Average Loss: 33.3367
Epoch [195/250], Average Loss: 23.7527
Epoch [196/250], Average Loss: 24.7023
Epoch [197/250], Average Loss: 28.0572
Epoch [198/250], Average Loss: 24.7802
Epoch [199/250], Average Loss: 23.3812
Epoch [200/250], Average Loss: 26.7860
Epoch [201/250], Average Loss: 22.8332
Epoch [202/250], Average Loss: 25.6368
Epoch [203/250], Average Loss: 22.0826
Epoch [204/250], Average Loss: 25.5574
Epoch [205/250], Average Loss: 22.9923
Epoch [206/250], Average Loss: 24.1965
Epoch [207/250], Average Loss: 23.4815
Epoch [208/250], Average Loss: 22.2162
Epoch [209/250], Average Loss: 24.8377
Epoch [210/250], Average Loss: 26.0504
Epoch [211/250], Average Loss: 26.7475
Epoch [212/250], Average Loss: 24.1958
Epoch [213/250], Average Loss: 21.5245
Epoch [214/250], Average Loss: 24.2601
Epoch [215/250], Average Loss: 25.2359
Epoch [216/250], Average Loss: 20.6617
Epoch [217/250], Average Loss: 23.5229
Epoch [218/250], Average Loss: 20.8818
Epoch [219/250], Average Loss: 23.1421
Epoch [220/250], Average Loss: 26.5455
Epoch [221/250], Average Loss: 26.3568
Epoch [222/250], Average Loss: 20.1210
Epoch [223/250], Average Loss: 23.4090
Epoch [224/250], Average Loss: 21.1585
Epoch [225/250], Average Loss: 23.2528
Epoch [226/250], Average Loss: 22.8049
Epoch [227/250], Average Loss: 22.9394
Epoch [228/250], Average Loss: 21.5115
Epoch [229/250], Average Loss: 20.5168
Epoch [230/250], Average Loss: 22.3165
Epoch [231/250], Average Loss: 26.0586
Epoch [232/250], Average Loss: 23.1140
Epoch [233/250], Average Loss: 25.1012
Epoch [234/250], Average Loss: 23.5779
Epoch [235/250], Average Loss: 19.6298
Epoch [236/250], Average Loss: 19.4520
Epoch [237/250], Average Loss: 22.2958
Epoch [238/250], Average Loss: 20.5117
Epoch [239/250], Average Loss: 21.9990
Epoch [240/250], Average Loss: 21.4237
Epoch [241/250], Average Loss: 19.5411
Epoch [242/250], Average Loss: 19.3753
Epoch [243/250], Average Loss: 23.2250
Epoch [244/250], Average Loss: 19.1576
Epoch [245/250], Average Loss: 21.6848
Epoch [246/250], Average Loss: 20.3578
Epoch [247/250], Average Loss: 24.4166
Epoch [248/250], Average Loss: 18.7551
Epoch [249/250], Average Loss: 32.6855
Epoch [250/250], Average Loss: 14.6196
