Epoch [1/250], Train Loss: 8907.9531, Val Loss: 2507.2625, Test Loss: 17007.9609
Epoch [2/250], Train Loss: 8892.9404, Val Loss: 2504.6936, Test Loss: 17001.3516
Epoch [3/250], Train Loss: 8878.9688, Val Loss: 2502.4429, Test Loss: 16996.3945
Epoch [4/250], Train Loss: 8865.7236, Val Loss: 2500.8550, Test Loss: 16993.6953
Epoch [5/250], Train Loss: 8849.0859, Val Loss: 2500.0754, Test Loss: 16993.7227
Epoch [6/250], Train Loss: 8829.0957, Val Loss: 2500.1338, Test Loss: 16996.5645
Epoch [7/250], Train Loss: 8809.8945, Val Loss: 2500.8984, Test Loss: 17001.8301
Epoch [8/250], Train Loss: 8788.7256, Val Loss: 2502.3777, Test Loss: 17009.6465
Epoch [9/250], Train Loss: 8767.0381, Val Loss: 2504.6909, Test Loss: 17020.1055
Epoch [10/250], Train Loss: 8742.5840, Val Loss: 2507.6760, Test Loss: 17032.5039
Epoch [11/250], Train Loss: 8719.4141, Val Loss: 2511.3093, Test Loss: 17046.7070
Epoch [12/250], Train Loss: 8695.1465, Val Loss: 2515.7715, Test Loss: 17063.6016
Epoch [13/250], Train Loss: 8671.2871, Val Loss: 2521.1458, Test Loss: 17083.3594
Epoch [14/250], Train Loss: 8648.2285, Val Loss: 2527.0701, Test Loss: 17104.9648
Epoch [15/250], Train Loss: 8624.7539, Val Loss: 2533.2502, Test Loss: 17127.4668
Epoch [16/250], Train Loss: 8601.9121, Val Loss: 2539.4033, Test Loss: 17150.3145
Epoch [17/250], Train Loss: 8579.9727, Val Loss: 2545.1672, Test Loss: 17172.7363
Epoch [18/250], Train Loss: 8558.4473, Val Loss: 2550.4214, Test Loss: 17194.6094
Epoch [19/250], Train Loss: 8537.8115, Val Loss: 2555.1377, Test Loss: 17215.3496
Epoch [20/250], Train Loss: 8517.5479, Val Loss: 2558.8394, Test Loss: 17233.5117
Epoch [21/250], Train Loss: 8497.8945, Val Loss: 2561.1445, Test Loss: 17248.3672
Epoch [22/250], Train Loss: 8478.8252, Val Loss: 2562.0857, Test Loss: 17259.2695
Epoch [23/250], Train Loss: 8460.3945, Val Loss: 2561.5574, Test Loss: 17265.7227
Epoch [24/250], Train Loss: 8442.2852, Val Loss: 2559.5552, Test Loss: 17268.1172
Epoch [25/250], Train Loss: 8424.7227, Val Loss: 2556.4143, Test Loss: 17266.5781
Epoch [26/250], Train Loss: 8407.6738, Val Loss: 2552.5417, Test Loss: 17261.4062
Epoch [27/250], Train Loss: 8391.0488, Val Loss: 2547.9155, Test Loss: 17252.8594
Epoch [28/250], Train Loss: 8374.7256, Val Loss: 2542.8186, Test Loss: 17241.8066
Epoch [29/250], Train Loss: 8358.8232, Val Loss: 2537.1423, Test Loss: 17228.6094
Epoch [30/250], Train Loss: 8343.2451, Val Loss: 2531.2112, Test Loss: 17214.2617
Epoch [31/250], Train Loss: 8327.8418, Val Loss: 2525.3679, Test Loss: 17198.3496
Epoch [32/250], Train Loss: 8312.5605, Val Loss: 2519.8223, Test Loss: 17182.1914
Epoch [33/250], Train Loss: 8297.3848, Val Loss: 2514.5098, Test Loss: 17164.4512
Epoch [34/250], Train Loss: 8282.4736, Val Loss: 2509.3582, Test Loss: 17146.0742
Epoch [35/250], Train Loss: 8267.7402, Val Loss: 2504.7510, Test Loss: 17127.9746
Epoch [36/250], Train Loss: 8253.1084, Val Loss: 2500.3267, Test Loss: 17109.5586
Epoch [37/250], Train Loss: 8238.7305, Val Loss: 2496.3831, Test Loss: 17090.4492
Epoch [38/250], Train Loss: 8224.5312, Val Loss: 2492.6709, Test Loss: 17070.6191
Epoch [39/250], Train Loss: 8210.6387, Val Loss: 2489.1072, Test Loss: 17051.2754
Epoch [40/250], Train Loss: 8197.1162, Val Loss: 2485.6624, Test Loss: 17032.9922
Epoch [41/250], Train Loss: 8184.0483, Val Loss: 2482.6047, Test Loss: 17017.1953
Epoch [42/250], Train Loss: 8171.5317, Val Loss: 2479.7146, Test Loss: 17003.6797
Epoch [43/250], Train Loss: 8159.5459, Val Loss: 2477.0081, Test Loss: 16989.3691
Epoch [44/250], Train Loss: 8148.0796, Val Loss: 2474.7605, Test Loss: 16976.1855
Epoch [45/250], Train Loss: 8137.0942, Val Loss: 2472.7183, Test Loss: 16964.0000
Epoch [46/250], Train Loss: 8126.5239, Val Loss: 2470.7173, Test Loss: 16951.1836
Epoch [47/250], Train Loss: 8116.3457, Val Loss: 2468.8979, Test Loss: 16938.4863
Epoch [48/250], Train Loss: 8106.5317, Val Loss: 2467.1758, Test Loss: 16925.4355
Epoch [49/250], Train Loss: 8097.0571, Val Loss: 2465.4961, Test Loss: 16913.8164
Epoch [50/250], Train Loss: 8087.8955, Val Loss: 2463.8394, Test Loss: 16902.4727
Epoch [51/250], Train Loss: 8079.0552, Val Loss: 2462.2180, Test Loss: 16889.8223
Epoch [52/250], Train Loss: 8070.4907, Val Loss: 2460.7195, Test Loss: 16879.1113
Epoch [53/250], Train Loss: 8062.1694, Val Loss: 2459.2554, Test Loss: 16871.4102
Epoch [54/250], Train Loss: 8054.0728, Val Loss: 2457.8118, Test Loss: 16864.2109
Epoch [55/250], Train Loss: 8046.1655, Val Loss: 2456.4226, Test Loss: 16858.2344
Epoch [56/250], Train Loss: 8038.4180, Val Loss: 2455.0483, Test Loss: 16852.7227
Epoch [57/250], Train Loss: 8030.8145, Val Loss: 2453.6934, Test Loss: 16847.1758
Epoch [58/250], Train Loss: 8023.3462, Val Loss: 2452.3345, Test Loss: 16841.1816
Epoch [59/250], Train Loss: 8016.0015, Val Loss: 2450.9470, Test Loss: 16835.8555
Epoch [60/250], Train Loss: 8008.7661, Val Loss: 2449.6523, Test Loss: 16830.2812
Epoch [61/250], Train Loss: 8001.6196, Val Loss: 2448.3398, Test Loss: 16825.7344
Epoch [62/250], Train Loss: 7994.5527, Val Loss: 2447.0134, Test Loss: 16820.1523
Epoch [63/250], Train Loss: 7987.5488, Val Loss: 2445.7078, Test Loss: 16815.0156
Epoch [64/250], Train Loss: 7980.6045, Val Loss: 2444.0999, Test Loss: 16808.1719
Epoch [65/250], Train Loss: 7973.7114, Val Loss: 2442.5103, Test Loss: 16802.8516
Epoch [66/250], Train Loss: 7966.9004, Val Loss: 2441.0352, Test Loss: 16798.8672
Epoch [67/250], Train Loss: 7960.0898, Val Loss: 2439.6003, Test Loss: 16793.5859
Epoch [68/250], Train Loss: 7953.3643, Val Loss: 2438.1086, Test Loss: 16786.3672
Epoch [69/250], Train Loss: 7946.6670, Val Loss: 2436.6323, Test Loss: 16781.5820
Epoch [70/250], Train Loss: 7939.9868, Val Loss: 2435.1958, Test Loss: 16777.3359
Epoch [71/250], Train Loss: 7933.3657, Val Loss: 2433.8521, Test Loss: 16770.5020
Epoch [72/250], Train Loss: 7926.7778, Val Loss: 2432.5107, Test Loss: 16763.4238
Epoch [73/250], Train Loss: 7920.1743, Val Loss: 2431.1606, Test Loss: 16757.7461
Epoch [74/250], Train Loss: 7913.6943, Val Loss: 2429.6599, Test Loss: 16751.6562
Epoch [75/250], Train Loss: 7907.1260, Val Loss: 2428.3525, Test Loss: 16743.0020
Epoch [76/250], Train Loss: 7900.7114, Val Loss: 2427.0469, Test Loss: 16734.2969
Epoch [77/250], Train Loss: 7894.1865, Val Loss: 2425.8171, Test Loss: 16727.5137
